,City,Latitude,Longitude
155,Riedholz,48.2620477,15.290397
156,Schönenwerd,47.3721555,8.0054417
157,Oberrieden,48.0884013,10.4273041
158,Murten,46.9288643,7.1163909
159,Felben-Wellhausen,47.575645,8.939863
160,Wolfwil,47.26971,7.794652
161,Klosteranlage der Kartause La Valsainte,,
162,Niedergösgen,47.3731476,7.9926844
163,Givet,50.1362582,4.8248698
164,Unterseen,46.6871654,7.8496369
165,Oßmannstedt,51.017154149999996,11.426495006516372
166,Büsserach,47.3915791,7.5405238
167,Bollweiler,47.8600613,7.2623733
168,Oberndorf-Bochingen,48.3002072,8.6170641
169,Zerbst/Anhalt,51.9640339,12.085502
170,Venedig,45.4371908,12.3345898
171,Bad Muskau,51.5470046,14.7215146
172,Königsberg,54.70464845,20.456566646621738
173,Anspach,50.3001549,8.506474
174,Arendsee-Dessau,52.8087845,11.4760659
175,Loschwitz,51.0555235,13.8154546
176,Chiavenna,46.3197862,9.3984945
177,Intra,45.9366367,8.5725755
178,Hohenheim,48.7118,9.2113
179,Schlosswil,46.9068983,7.614307977918951
180,Oberglatt,47.4768036,8.5203554
181,Obergösgen,47.364104,7.951209
182,Airolo,46.5290309,8.6086045
183,Hofwil,47.02128045,7.461744400000001
184,Wildegg,47.4153808,8.1636356
185,Rothenburg,49.3772526,10.1790017
186,Urserental,,
187,Alpnach,46.9411661,8.2736829
188,Kienberg,48.0358261,12.46226
189,Auvernier,46.976104199999995,6.8741475002697285
190,Sargans,47.0482641,9.4401995
191,Neuwiller,47.5234183,7.5156516
192,Montsevelier,47.3598883,7.510694388985991
193,Egerkingen,47.3225009,7.7947889
194,Arnheim,51.984257,5.9108573
195,Schloss Wartenfels,47.3906954,7.9346945
196,Angenstein,47.46331645,7.604887202760657
197,Gottlieben,47.6640263,9.1343895
198,Herzogenbusch,51.6889387,5.303116
199,Oberbuchsiten,47.3117986,7.7652017
200,Kaysersberg,48.157187300000004,7.241094008940136
201,Kriegstetten,47.175109,7.59906
202,Veytaux,46.4215725,6.9275648
203,Erlach,47.0433028,7.0975115
204,Ellikon an der Thur,47.5633514,8.8242689
205,Mellingen,50.9410689,11.395064
206,Neu-Hanau,,
207,Köthen (Anhalt),51.751033,11.973698
208,Spielbach,47.4593161,12.6460278
209,Mohrungen,53.9119982,19.9279895
210,Timmel,53.3636587,7.5218148
211,Bützow,53.8500047,11.9832952
212,Hindenburg,53.0939254,13.460274
213,Beggerow,53.8258947,13.0533071
214,Oberbrüden,48.9552162,9.5069994
215,Kredenbach,49.851031,9.534899
216,Grund,49.6102782,6.1359038
217,Monnikendam,52.1536903,5.3924365892289305
218,Bad Boll,48.638716,9.6167744
219,Dürrn,48.9565867,8.7552672
220,Elberfeld,51.2573333,7.1458183
221,Teningen-Köndringen,48.1391463,7.8054205
222,Mussbach,49.3688978,8.1717618
223,Sissach,47.4634767,7.8125639
224,Waldenburg,50.785221,16.284640336127822
225,Kerentzen,,
226,Oberdiessbach,46.8399962,7.6192848
227,Elgg,47.4902329,8.8669115
228,Rümlingen,47.4244356,7.8497922
229,Laufen,47.9354122,12.930309
230,Gondiswil,47.144579,7.8718925
231,Benken,47.6537872,8.6537634
232,Beckenhof,49.3157705,11.4376817
233,Gsteig bei Gstaad,46.3855821,7.2673253
234,Matt,46.9597027,9.1710353
235,Langnau im Emmental,46.9392339,7.7882673
236,Öflingen,47.5921621,7.9138159
237,Bretzwil,47.3970067,7.6508005
238,"Wyler, Elsass",49.468468,5.9326783
239,Diesbach,46.9519467,9.0323254
240,Saint-Pol-de-Léon,48.6849601,-3.9868641
241,Schloss Beaulieu,46.480427000000006,-0.7677760862887257
242,Brüssel,50.8465573,4.351697
243,Malix,46.8118703,9.5313669
244,Sainte-Menehould,49.0904192,4.8967637
245,Valençay,47.161511,1.5666078
246,Offenbach,50.1055002,8.7610698
247,Obermassfeld,50.5290351,10.4401042
248,Neunkirch,47.689983,8.5000759
249,Hain,50.706599600000004,12.088712684661726
250,Dulwich,51.4418786,-0.0843244
251,Birstein,50.3923,9.30438
252,Begnins,46.4411298,6.2492689
253,Herrnhut,51.000640950000005,14.716045782436524
254,Gnadenberg,47.9844133,15.1925941
255,Königsfeld im Schwarzwald,48.1401934,8.4194
256,Koenigsfeld,49.8492593,16.5399096
257,Waldersbach,48.4134801,7.2135392
258,Berschis,47.1060001,9.3463581
259,Trimbach,48.9399791,8.0235967
260,Heidenheim an der Brenz,48.6767637,10.152923
261,Frankenberg (Eder),51.0771933,8.7908312
262,Rothenfluh,47.4608887,7.914597
263,Abländschen,46.5786149,7.2920844
264,Lauenen bei Gstaad,46.4247066,7.3223985
265,Nettstal,,
266,Schwanden,46.9955628,9.0713622
267,Dussnang,47.4309534,8.9611134
268,Markirch,48.2476662,7.1851184
269,Kemnade,51.41209345,7.417593212008734
270,Berneck,47.4249019,9.6102137
271,Kerenzen,47.11642085,9.151735811133523
272,Grub,47.4481664,9.5094743
273,Oberstenfeld,49.0242983,9.3192878
274,Pleidelsheim,48.9596036,9.2045813
275,Lustnau,48.5306563,9.0857454
276,Deufstetten,49.0535973,10.22771
277,Dahle,48.5861563,7.5080572
278,Sörup,54.7169361,9.6673591
279,Sankt Margrethen,53.8921754,9.2539471
280,Weil,50.3673539,8.3860604
281,"Boston, Mass.",42.3554334,-71.060511
282,Zollikofen,46.9959463,7.4576417
283,Heiden,47.4421715,9.532089
284,Dottenwil,47.4770407,9.379633
285,Meldorf,54.08988,9.070633
286,Prag,50.0874654,14.4212535
287,Bozen,46.655945450000004,11.23021287087526
288,Eppishausen,48.1677834,10.5165068
289,Bubendorf,47.446684,7.73535
290,Därstetten,46.659917,7.492218
291,Weisbach,50.5592672,11.6003073
292,Königsfelden,47.480930900000004,8.215999328970351
293,Eichenbühl,49.7027308,9.3313801
294,Schinznach,47.4467994,8.1422836
295,Turbenthal,47.4368146,8.848521
296,Tuggen,47.2022792,8.9424794
297,Sils im Domleschg,46.7001997,9.4538996
298,Passériano,,
299,Cazis,46.7212988,9.4303829
300,Buochs,46.9739978,8.4205883
301,Lahr/Schwarzwald,48.338896,7.8710825
302,Schwende,47.285247150000004,9.39579203958195
303,Lutzenberg,47.459378,9.561572
304,Münsterlingen,47.631287,9.2329998
305,Walzenhausen,47.4506581,9.6017721
306,Degersheim,47.3735896,9.1990317
307,Hegi,47.5056755,8.7716453
308,Ennenda,47.033828,9.0779218
309,Wintersbourg (Elsass),48.7859173,7.1881884
310,Zilling (Elsass),48.7829501,7.2112564
311,Mönchaltorf,47.31279,8.7222749
312,Eschbourg,48.8136429,7.2962895
313,Buckten,47.4101163,7.8447464
314,Diegten,47.409937,7.809077
315,Bennwil,47.4041393,7.7801695
316,Engollon,47.042672249999995,6.923526372251624
317,Gais,46.8331565,11.9474837
318,Andermatt,46.6340499,8.5948148
319,Ellrich,51.587313,10.6649031
320,Cara,46.7555699,23.7800774
321,St. James Shut,,
322,Blackheath,51.4702789,0.005971056199696971
323,La Ferté,46.9417245,5.6607254
324,Florenz,43.7697955,11.2556404
325,Stein am Rhein,47.6597323,8.8596823
326,Stettlen,46.9583564,7.5251524
327,Wintersingen,47.4949559,7.823229
328,Rüschlikon,47.307465,8.5546421
329,Österreich,47.59397,14.12456
330,Archangelsk,64.543022,40.537121
331,Russland,64.6863136,97.7453061
332,Skidal',53.5902309,24.2510704
333,Puschkin,59.722256,30.415731
334,Liepen,53.8856602,13.4671998
335,Friedberg (Hessen),50.3352682,8.7539306
336,Frankfurt-Seckbach,50.1434285,8.7258861
337,Uelitz,53.4755345,11.4383791
338,Oldenburg (Oldenburg),53.1389753,8.2146017
339,Eiche bei Reigoldswyl,,
340,Bernhardzell,47.4718745,9.3367704
341,Morillon,46.0838209,6.6772727
342,Marienwerder,53.7204653,18.937464130662192
343,Niederwil,47.3763559,8.2947614
344,Pilling,53.930206999999996,-2.9088352230010743
345,Lohn,52.665257,8.2363523
346,Madesimo,46.4362982,9.3584136
347,Feldkirch,47.8647485,7.2730686
348,Walenstadt,47.1229016,9.3140113
349,"Newburgh, NY",41.5034271,-74.0104179
350,Montaigre,47.3975736,7.0397013
351,Dessau,51.8309956,12.2430723
352,Haunstedt,,
353,Le Bignon-Mirabeau,48.1477847,2.9233609
354,Nennhausen,52.6038537,12.5072123
355,Kumengorod,,
356,Paddington,51.5163047,-0.1792423
357,Genvry,49.6122762,2.9907632
358,Peterwitz,51.0554637,16.8827634
359,Ampfingen,,
360,Bad Berka,50.9002644,11.2829778
361,Eisleben,51.5283282,11.5465911
362,Teplitz,50.6406644,13.8244461
363,Meersburg,47.6955538,9.2719656
364,Groslay,48.9867112,2.3458615
365,Interlaken,46.6855231,7.8585139
366,Padua,45.4077172,11.8734455
367,Diessenhofen,47.6875317,8.7492673
368,Stand Bern,46.6824667,7.5152073
369,[St. Gallen],47.425618,9.3762397
370,Böckten,47.4634028,7.8387155
371,Trüllikon,47.6377265,8.6934163
372,Will,41.4194058,-87.9994754
373,Silvaplana,46.4599334,9.7959165
374,Kiesen,46.8195399,7.5848154
375,Gottstatt,47.1362023,7.3130122
376,"Dayton, Ohio",39.7589478,-84.1916069
377,Neu-Hardenberg,40.0907006,-74.0811114
378,Želiezovce,48.0492258,18.6583548
379,Passeier,46.8318323,11.1672933
380,Tonnerre,47.8565193,3.9733288
381,Brünn,49.1922443,16.6113382
382,Bex,46.2513776,7.0123881
383,Schönengrund,47.3280092,9.2267766
384,Hundwil,47.3656744,9.3182713
385,"Mount Vernon, Ill.",38.3172715,-88.9031201
386,Sachseln,46.8688851,8.2392021
387,Näfels,47.0997753,9.0630051
388,Lichtensteig,47.3231436,9.0874862
389,Uznach,47.2250882,8.98556
390,Winterthur-Seen,47.4874314,8.7667533
391,Bischofszell,47.4937698,9.2409168
392,Köpenick,52.458577,13.5815192
393,Obererlinsbach,47.4103271,8.0019516
394,Elbing,54.1558708,19.4044583
395,Ciudad Rodrigo,40.5974369,-6.5336117
396,Andelfingen,48.153565,9.411607943916513
397,Saint-Hippolyte,44.8698075,-0.1218554
398,Saint Asaph,40.0027669,-75.22673995532148
399,Lenk,46.4558879,7.4416976
400,Roitham,47.9591077,12.4497576
401,Wald (Steiermark),46.9074363,15.2330819
402,Eferding,48.3082607,14.0203999
403,Steuden-Etzdorf,51.421010800000005,11.771205764520266
404,Hochstift Basel,,
405,Bernhardszell,,
406,Ebringen,47.957885,7.7755546
407,Spandau,52.5192672,13.195439
408,Trzebiechów,52.0226174,15.7357566
409,Steinbeck,52.704448299999996,13.943641712714191
410,Binzen,47.6312281,7.6243455
411,Lintel,53.2146209,8.7821498
412,Töss,47.4547376,8.774664
413,Arenenberg,47.6724085,9.0601312
414,Bürglen,47.2575984,8.5373809
415,Unna-Königsborn,51.5532388,7.687776
416,Krakau,50.0469432,19.997153435836697
417,Isfahan,33.1881386,52.4981635
418,Brienne-le-Château,48.3941801,4.5268522
419,Münster (Westf),51.9564055,7.635792
420,Birr,47.4345344,8.2029778
421,Wandsbek,53.6494967,10.113758388499967
422,Hatshausen,53.3484095,7.4765178
423,Wartau,47.0926493,9.454809218050077
424,Luchsingen,46.9666929,9.0370301
425,Hauptwil,47.4798037,9.2513948
426,Schöntal,49.34632785,9.546062862141635
427,Kirchleerau,47.2755071,8.0702913
428,Höngg,47.4016604,8.4977145
429,Bayersdorf,50.5809158,11.0025729
430,Egnach,47.5432155,9.3814541
431,Sankt Georgen,47.1393978,16.568593128008885
432,Schleitheim,47.7488818,8.4845902
433,Tüllingen,47.5978077,7.6407418
434,Knonau,47.2251463,8.4573072
435,Staufen,47.3799837,8.1665273
436,Eem,52.2239348,5.3147372
437,Neunforn,47.6006714,8.7794938
438,Walperswil,47.0597836,7.2268525
439,Litzelstetten-Mainau,47.7052926,9.19451284399879
440,Morez,46.527073099999996,6.01616871446755
441,Essertines-sur-Rolle,46.4924891,6.3170166
442,Courrendlin,47.3392989,7.3735698
443,Luxeuil-les-Bains,47.817177,6.3808865
444,Kirchdorf,52.5966234,8.8355037
445,Büren an der Aare,47.1398953,7.3722632
446,Matzendorf,48.1103277,14.934407
447,Welschenrohr,47.2806485,7.5252234
448,Seewen,47.4354627,7.6582649
449,Kurzdorf,47.5602231,8.8843065
450,Jegenstorf,47.0498143,7.5085719
451,Bätterkinden,47.1317799,7.5398908
452,Kappel,54.6641769,9.9317595
453,Thunstetten,47.2023549,7.7582873
454,Weissenstein,58.8869266,25.5699121
455,Balsthal,47.3140365,7.6947764
456,Oberdorf,49.2746965,6.5944792
457,Kleinlützel,47.4259552,7.4172702
458,Luterbach,47.2145742,7.5839238
459,Champagne-sur-Oise,49.1339431,2.2312397
460,Attisholz,47.2257386,7.5757213
461,Bellelay,47.2630554,7.168377136111111
462,Siders,46.2922522,7.5323195
463,Blumenstein,46.7412152,7.5208259
464,Salenstein,47.6694793,9.05922
465,Lemberg,49.0006115,7.3788996
466,Köln,50.938361,6.959974
467,Louveciennes,48.8616969,2.1130641
468,Finkenstein,46.5659297,13.8713597
469,Écouen,49.0196554,2.3799378
470,Stollhofen,48.3520621,15.758707
471,Ilanz,46.775575,9.2054956
472,Saignelégier,47.2557997,6.9963585
473,Céligny,46.3505844,6.1949435
474,Heimberg,46.7871081,7.605935
475,Cortaillod,46.9432319,6.8458944
476,Hargesheim,49.8628901,7.82671
477,Linthal,47.9480886,7.1287943
478,Ebingen,48.2123702,9.0271181
479,Brestenberg,47.3196137,8.209943
480,Schöftland,47.3054517,8.0527946
481,Fluntern,47.3767769,8.5587745
482,Villingen im Schwarzwald,48.0578832,8.465255
483,Ramsau am Dachstein,47.4217532,13.6531171
484,Dirlewang,48.0018325,10.5025804
485,Zabern,48.7419909,7.3625953
486,Mühlehorn,47.1169267,9.1731832
487,Founex,46.3338174,6.1943733
488,Sachsenheim,48.9654062,9.0583956
489,Burg b. Magdeburg,52.2744115,11.8402498
490,Diersburg,48.3991692,7.9365804
491,Göteborg,57.7072326,11.9670171
492,Oberentfelden,47.3567549,8.0470858
493,St. Moritz,46.4978958,9.8392428
494,Pawlowsk,50.4520214,40.1399663
495,Bellach,47.2134073,7.4983313
496,Schloss Jegenstorf,47.047836700000005,7.5095472420158185
497,Burg Landskron Leymen,47.48837745,7.490748002864583
498,Utzenstorf-Landshut,47.1374471,7.548304002826528
499,Blotzheim,47.6014104,7.4966546
500,Schloss Bipp,47.26329885,7.651239827622674
501,Eglisau,47.5733207,8.5239827
502,Röthenbach im Emmental,46.8536951,7.7435504
503,Biberstein,47.4140667,8.0821155
504,Le Landeron,47.0554312,7.0702155
505,Sankt Blasien,47.0130836,6.9879483
506,Steinbrunn-le-Haut,47.6626861,7.3479226
507,Lauterbourg,48.9751103,8.1767166
508,Tavannes,47.220131,7.1986691
509,Barr,48.4088704,7.4492808
510,Clavadel,46.7678586,9.8155701
511,Breil/Brigels,46.7674063,9.0622332
512,Grindelwald,46.6242733,8.0367462
513,Wigoltingen,47.5967195,9.0320675
514,Silleri,11.3733535,78.3676962
515,Meltingen,47.3877576,7.5898528
516,"Pittsburgh, Pa.",40.4416941,-79.9900861
517,Oberdollendorf,50.6973984,7.1926083
518,Corcapolo,46.1687622,8.675811
519,Torricella-Taverne,46.0656774,8.924762
520,Athen,37.9755648,23.7348324
521,"Princeton, NJ",40.3496953,-74.6597376
522,Ascona,46.1554222,8.7707865
523,"New Brunswick, NJ",40.4862174,-74.4518173
524,Agrigent,37.3122991,13.57465
525,Oeffingen,48.8436983,9.2646623
526,Ermatingen,47.6693246,9.0798991
527,Sant'Andrea,44.7223275,8.5018626
528,Augst,47.5338077,7.7206018
529,"Athens, Ga.",33.9597677,-83.376398
530,"Cambridge, Mass.",42.3656347,-71.1040018
531,Thessaloniki,40.6403167,22.9352716
532,"Stanford, Calif.",37.426540700000004,-122.17030545534064
533,Herne- Wanne-Eickel,51.5317553,7.1644354
534,"New Haven, Conn.",41.3082138,-72.9250518
535,"Washington, DC",38.8950368,-77.0365427
536,Ludwigshafen am Rhein,49.4704113,8.4381568
537,Heidelberg-Handschuhsheim,49.4306859,8.6831779
538,Balmain,48.8685919,2.3040382
539,Wuppertal-Elberfeld,51.2695713,7.1495696
540,Larisa,39.6383092,22.4160706
541,Val Sinestra,46.8506998,10.3371746
542,"Albuquerque, NM",35.0841034,-106.650985
543,Bingen,49.9667,7.9
544,Bochum-Querenburg,51.4577906,7.2883183
545,Köln-Lindenthal,50.9359354,6.871246459161802
546,"Chapel Hill, NC",35.9131542,-79.05578
547,Büderich,51.632493749999995,6.582872702221536
548,Gingins,46.4094508,6.1779167
549,Vinzel,46.4476073,6.2793859
550,St. Blasien,47.7602106,8.131426
551,Badenweiler,47.8025477,7.6739717
552,Lenzerheide,46.7280297,9.5584408
553,Vatikanstadt,41.9034912,12.4528349
554,Löwen,50.879202,4.7011675
555,"Notre Dame, Ind.",41.704567749999995,-86.23822026017265
556,Duisburg-Hamborn,51.5027977,6.7723215
557,Erlenbach,49.1703333,9.2692171
558,Stuttgart-Plieningen,48.6947957,9.2295139
559,"Los Angeles, Calif.",34.0536909,-118.242766
560,Pam Mun Jom,,
561,"University Park, Pa.",34.7406465,-86.6230495
562,"Vancouver, Wash.",45.6306954,-122.6744557
563,Zollikerberg,47.3456637,8.5993998
564,Trient,46.0664228,11.1257601
565,La Rosiaz,46.522055,6.66206
566,Säckingen,47.5525538,7.9495387
567,Thann,47.8101008,7.1020957
568,Wittnau,47.9462735,7.814375
569,Amstelveen (Holland),52.2862177,4.852649259746028
570,Tel Aviv,32.0852997,34.7818064
571,Den Haag,52.07494555,4.2696802205364515
572,Vandœuvre,48.6599676,6.1724618
573,Biberach an der Riß,48.0984413,9.7899938
574,Parias,37.8380742,-5.3397384
575,Wabern,51.0941418,9.3292408
576,Linkenheim,49.1211976,8.405421444348217
577,Gailingen,47.6967256,8.75817899274303
578,Simancas,41.5902895,-4.8268115
579,Bad Godesberg,50.6850682,7.156323
580,Hohenbodman,47.8228517,9.2080997
581,Huntington (W.V.),32.52072055,-94.75619036771658
582,Brissago,45.9485671,8.7472331
583,"Chicago, Ill.",41.8755616,-87.6244212
584,Ennetbaden,47.4785764,8.3153871
585,Raron,46.309934,7.799589
586,Château-d'Oex,46.4739581,7.13056
587,Roscoff,48.7255816,-3.9828983
588,Köln-Sülz,50.9189277,6.9240929
589,Pfeffingen,47.4579858,7.589006
590,Cappel,49.0713212,6.8507862
591,Bremen-Farge,53.2051515,8.5165056
592,Monsummano Terme,43.8707438,10.8140162
593,"Edwardsville, Ill.",38.8114364,-89.953157
594,Köln-Marienburg,50.9014892,6.9774565
595,Oberhausen (Rheinland),49.0982792,8.0567911
596,Ebenhausen,47.9788079,11.4534323
597,Riggisberg,46.8106696,7.4798275
598,Garatshausen,47.924384,11.2897398
599,Melbeck,53.1782785,10.4084916
600,Düsseldorf-Oberkassel,51.2295816,6.7554498
601,Cardiff,51.4816546,-3.1791934
602,"La Jolla, Calif.",32.8401623,-117.2740777
603,Köniz-Liebefeld,46.9296752,7.4270554
604,Bayrischzell,47.6737001,12.0148837
605,Randa,46.100229,7.7828107
606,Herrliberg,47.2905574,8.6124721
607,Palma de Mallorca,39.58125245,2.7092683401782343
608,Berlin-Treptow,52.417893,13.6001848
609,Mexiko,19.4326296,-99.1331785
610,Berlin-Tempelhof,52.4711794,13.3774625
611,Otterfing,47.9100294,11.6712434
612,Rottach-Egern,47.6909599,11.7707109
613,Eichberg,46.1081377,11.3027058
614,Davos Platz,46.7917679,9.8210273
615,Asnières-sur-Seine,48.9105948,2.2890454
616,Söcking,48.0017434,11.3154861
617,Hinterkappelen,46.9678275,7.3774267
618,Mbo,13.2085198,120.60534709448388
619,Richmond (Va.),-32.8652,151.5012
620,Belmont (Calif.),37.5164926,-122.2941914
621,Minusio,46.1755251,8.8118196
622,Hamburg-Harburg,53.4557227,9.9917669
623,Lund,55.7029296,13.1929449
624,"Baltimore, Md.",39.2908816,-76.610759
625,Kitzbühel,47.4463585,12.3911473
626,"Saint Paul, Minn.",44.9497487,-93.0931028
627,Zumikon,47.3324061,8.6238228
628,Provinz Natal,-34.7181605,-58.4711537
629,Kibale Forest Reserve,0.8158541,30.6537883
630,Mümliswil,47.342768,7.7038598
631,Klosters,46.8829097,9.8750678
632,Valens,46.969373,9.4817696
633,Ingelheim am Rhein,49.9752749,8.0547274
634,Schupfart,47.5145465,7.9657804
635,Allmannshausen,47.9365798,11.3459203
636,Faulensee,46.6778648,7.6993664
637,Muralto,46.1737791,8.8011979
638,Bernhaupten,47.8240113,12.5954607
639,Berlin-Dahlem,52.4662332,13.2982478
640,Dutenhofen,50.5643678,8.5982542
641,Bühlerhöhe,48.674993799999996,8.229331394730487
642,Unterentfelden,47.3670123,8.0424171
643,Wenslingen,47.440539,7.907641
644,Oedt,51.3251047,6.3797495
645,Bukarest,44.4361414,26.1027202
646,Brohl (Rhein),50.188147,7.6295369
647,Solduno,46.1694976,8.7774866
648,Schlatt,47.6682701,8.699623514442717
649,Gwatt,47.1766078,9.0515895
650,Sins,47.1910321,8.3946059
651,Porz,50.8799229,7.0950744704864315
652,Köln-Mülheim,50.9581466,7.0135261
653,Höchst-Annelsbach,49.7809374,8.9601559
654,Hanstedt,53.2583495,10.0216724
655,Düsseldorf-Gerresheim,51.2202703,6.863938
656,Beratzhausen,49.0962934,11.8057872
657,Bad Herrenalb,48.7990507,8.4382557
658,"Evanston, Ill.",42.0470043,-87.6846053
659,"Madison, NJ",40.7598227,-74.417097
